term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
cog_min_mod,23,258628.4384231459,258802.96768352913,-129291.21921157296,258582.4384231459,NA,NA,NA
cog_2_mod,28,258150.17138833582,258362.6417922806,-129047.08569416791,258094.17138833582,488.26703481009463,5,2.7203895355870325e-103
cog_max_mod,32,258155.8821852365,258398.70550403054,-129045.94109261825,258091.8821852365,2.289203099324368,4,0.6827354892299692
