ss,sex,age,list,ACC_VerbalAnalogy,RT_VerbalAnalogy,VerbalAnalogy_OverallACC,VerbalAnalogy_OverallRT,Far_High_ACC,Far_High_RT,Far_Low_ACC,Far_Low_RT,Near_High_ACC,Near_High_RT,Near_Low_ACC,Near_Low_RT,BPIndex,BP_Trial1,BP_Intrusions,VisACC,VisRT_total,VisRT_correct,Vis_1rc_inhib_ACC,Vis_1rc_non_ACC,Vis_2rc_inhib_ACC,Vis_2rc_non_ACC,Vis_1rc_inhib_RT_total,Vis_1rc_non_RT_total,Vis_2rc_inhib_RT_total,Vis_2rc_non_RT_total,Vis_1rc_inhib_RT_correct,Vis_1rc_non_RT_correct,Vis_2rc_inhib_RT_correct,Vis_2rc_non_RT_correct,Vis_invalid_1rc_ACC,Vis_invalid_2rc_ACC,Vis_invalid_1rc_RT_correct,Vis_invalid_2rc_RT_correct,Vis_invalid_1rc_RT_total,Vis_invalid_2rc_RT_total,Vis_1rc_dp,Vis_2rc_dp,Vis_1rc_inhib_dp,Vis_1rc_non_dp,Vis_2rc_inhib_dp,Vis_2rc_non_dp,Vis_1rc_hit,Vis_2rc_hit,Vis_1rc_inhib_hit,Vis_1rc_non_hit,Vis_2rc_inhib_hit,Vis_2rc_non_hit,Vis_1rc_FA,Vis_2rc_FA,AQ,AttenSwitch,Comm,DetailAttn,Imagination,SocialSkills,WM,OSpan,RSpan,NumberSeries,RAPM,GenKnow,TextComp,ShipleyVocab
1124,2,21,red2,0.85,8413,0.85,9371,0.87,6329,0.93,11755,0.73,9135.18,0.87,6432.92,0.42,0.7,3,0.743055556,4878.388889,4737.457944,0.75,0.916666667,0.75,0.875,4072.291667,3812.458333,5819.916667,6011.041667,4205.666667,3679.545455,5696.611111,5920.428571,0.583333333,0.583333333,3432.857143,5380.571429,3726.25,5828.375,1.17784996,1.097574953,0.884918144,1.593422521,0.884918144,1.360777775,0.833333333,0.8125,0.75,0.916666667,0.75,0.875,0.416666667,0.416666667,17,6,3,5,1,2,0.54,0.666666667,0.413333333,0.33,0.277777778,0.416666667,0,0.625
1128,2,39,green1,0.92,3566,0.92,3625,0.87,4327.85,0.87,3765.85,0.93,3608,1,2561,0.21,0.7,3,0.708333333,2023.381944,1942.784314,0.875,0.791666667,0.625,0.583333333,1823.208333,1631.666667,2271.875,2162.25,1715.571429,1579.210526,2474,2043.714286,0.833333333,0.541666667,1963.05,2088.384615,2064.166667,2187.125,1.934843132,0.368780432,2.117770946,1.779639368,0.42327282,0.31506185,0.833333333,0.604166667,0.875,0.791666667,0.625,0.583333333,0.166666667,0.458333333,7,0,0,4,1,2,0.84,0.84,0.84,0.6,0.444444444,0.5,0.4,0.7
1132,2,19,red1,0.87,3758,0.87,3968,0.87,4533,0.73,4157,0.87,3201.33,1,3140.4,0.36,0.85,3,0.833333333,3294.8125,3213.733333,0.791666667,1,0.666666667,0.916666667,2415.541667,2344.958333,4114.041667,3989.583333,2437.157895,2344.958333,3951.5625,4063.181818,0.791666667,0.833333333,2684.210526,3972.4,2670,4234.75,2.070379363,1.779639368,1.624435603,2.849051933,1.398148865,2.350415693,0.895833333,0.791666667,0.791666667,1,0.666666667,0.916666667,0.208333333,0.166666667,18,4,3,7,3,1,0.55,0.573333333,0.52,0.6,0.444444444,0.416666667,0.466666667,0.8
1137,2,18,yellow2,0.82,4141,0.82,4258,0.6,4064.78,0.93,4311.23,0.87,4375,0.87,3811,0.33,0.65,1,0.666666667,4282.979167,4154.53125,0.875,0.625,0.625,0.458333333,3952.166667,3570.458333,5357.708333,4697.083333,3928.047619,3573.133333,5296.333333,4798,0.75,0.666666667,3433.111111,4295.625,3478.5,4641.958333,1.3489795,0.535360755,1.824839131,0.993129114,0.749366663,0.326093844,0.75,0.541666667,0.875,0.625,0.625,0.458333333,0.25,0.333333333,15,3,2,7,2,1,0.73,0.76,0.693333333,NA,0.555555556,0.416666667,0.333333333,0.675
1161,2,20,yellow2,0.78,3106,0.78,3106,0.6,3172.56,0.93,2535.36,0.87,3340,0.73,3376,0.7,0.85,2,0.715277778,4154.013889,4716.553398,0.75,0.75,0.583333333,0.875,3270.416667,3252.208333,5053.583333,4514.25,3948.222222,4214.444444,6479.142857,4377.190476,0.708333333,0.625,2936.882353,7088.066667,3480.333333,5353.291667,1.223012033,0.928933974,1.223012033,1.223012033,0.529067758,1.468988744,0.75,0.729166667,0.75,0.75,0.583333333,0.875,0.291666667,0.375,21,5,5,7,1,3,0.41,0.76,0.066666667,0.33,0.111111111,0.25,0.133333333,0.625
1201,2,19,blue1,0.9,3519,0.9,3654,0.67,3373,0.93,4160,1,3295.4,1,3248.93,0.79,0.7,2,0.708333333,5020.569444,5217.892157,0.75,0.708333333,0.708333333,0.708333333,3931.333333,5782.666667,3920,6671.416667,3480.277778,4875.235294,4530.705882,8450.941176,0.666666667,0.708333333,2960.375,6979.235294,3179.25,6638.75,1.041021909,1.097044565,1.105217049,0.979249582,1.097044565,1.097044565,0.729166667,0.708333333,0.75,0.708333333,0.708333333,0.708333333,0.333333333,0.291666667,26,9,7,3,1,6,0.49,0.853333333,0.133333333,0.53,0.444444444,0.458333333,0.666666667,0.575
1204,2,49,green1,0.95,5792,0.95,6038,0.93,5381.86,1,8014.6,0.93,4832,0.93,4937,0.62,0.65,1,0.756944444,3296.430556,3190.862385,0.708333333,0.916666667,0.666666667,0.958333333,2588.958333,2041.958333,4515.75,3758.208333,2523.588235,1927.454545,4465.9375,3578.608696,0.583333333,0.708333333,3033.142857,3898.352941,2774.166667,4099.541667,1.097574953,1.435668842,0.758950677,1.593422521,0.979249582,2.280186679,0.8125,0.8125,0.708333333,0.916666667,0.666666667,0.958333333,0.416666667,0.291666667,9,4,0,3,1,1,0.77,0.666666667,0.866666667,0.47,0.555555556,0.666666667,0.866666667,0.825
1212,1,17,yellow1,0.82,2557,0.82,2557,0.73,2965,0.87,2539,0.8,2583,0.87,2139,0.066666667,0.75,2,0.868055556,3416.381944,3451.928,0.833333333,1,0.791666667,0.875,2783.75,2687.875,3945.375,4448.958333,2834.6,2687.875,4348.052632,4323.047619,0.875,0.833333333,2834.761905,3868.15,2856,3776.333333,2.533343507,1.934843132,2.117770946,3.187183512,1.779639368,2.117770946,0.916666667,0.833333333,0.833333333,1,0.791666667,0.875,0.125,0.166666667,16,4,4,6,0,2,0.65,0.88,0.426666667,0.87,0.611111111,0.541666667,0.533333333,0.625
1213,2,19,yellow1,0.72,3681,0.72,3681,0.67,3111,0.6,4026.33,0.8,4346,0.8,3239,-0.07,0.45,6,0.854166667,4400.090278,4341.739837,0.875,0.958333333,0.833333333,0.916666667,3055.541667,2867.416667,5916.333333,5700.416667,3033.047619,2829.26087,5789.3,5642.545455,0.791666667,0.75,3769.421053,5207,3703.958333,5156.875,2.195211929,1.824839131,1.962567182,2.543882198,1.641911316,2.057483877,0.916666667,0.875,0.875,0.958333333,0.833333333,0.916666667,0.208333333,0.25,14,3,2,6,2,1,0.66,0.8,0.52,0.47,0.388888889,0.333333333,0.466666667,0.625
1214,1,23,red1,0.95,5102,0.95,5215,0.93,6646,1,4856,0.87,4961.92,1,3944.73,0.31,0.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,0,7,2,0,0.66,0.786666667,0.533333333,NA,0.611111111,NA,NA,NA
1215,2,22,yellow1,0.88,3179,0.88,3179,0.73,3612.36,1,2470.07,0.93,4046,0.87,2589,0.67,0.65,2,0.729166667,4515.215278,4495.142857,0.75,0.875,0.625,0.916666667,4224.5,4390.25,4826.208333,4390.666667,4515.444444,4131.285714,4458.4,4235.045455,0.666666667,0.541666667,4575.6875,5438.230769,4358.583333,4901.083333,1.317873858,0.846227499,1.105217049,1.58107668,0.42327282,1.487627583,0.8125,0.770833333,0.75,0.875,0.625,0.916666667,0.333333333,0.458333333,15,4,1,9,0,1,0.7,0.786666667,0.613333333,0.67,0.611111111,0.333333333,0.133333333,0.775
1218,2,23,blue1,0.72,4314,0.72,4314,0.33,3929,0.87,5214,0.73,4621,0.93,3491.86,0.33,0.5,7,0.625,684.8611111,656.1666667,0.875,0.875,0.875,0.708333333,586.0416667,856.0833333,589.3333333,638.5,564.3809524,693.047619,499.1904762,500,0.125,0.291666667,901.6666667,1565.857143,522.875,916.3333333,0,0.263695519,0,0,0.601827098,0,0.875,0.791666667,0.875,0.875,0.875,0.708333333,0.875,0.708333333,20,5,2,6,4,3,0.35,0.373333333,0.32,0.33,0,0.375,0.133333333,0.55
1219,2,19,yellow2,0.75,4942,0.75,5106,0.53,4414.25,0.8,5399.75,0.8,5873,0.87,4082,0.31,0.65,2,0.729166667,3658.083333,3409.657143,0.833333333,0.833333333,0.625,0.708333333,2618.583333,2522.666667,4676.166667,5091.625,2665.2,2320.85,4823.533333,4728.823529,0.791666667,0.583333333,2679.631579,3902.642857,2652.666667,4386.791667,1.779639368,0.641155694,1.779639368,1.779639368,0.529067758,0.758950677,0.833333333,0.666666667,0.833333333,0.833333333,0.625,0.708333333,0.208333333,0.416666667,15,4,2,6,2,1,0.67,0.666666667,0.68,0.67,0.5,0.5,0.266666667,0.6
1223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.8,0,0.944444444,2741.076389,2717.977941,0.958333333,1,0.916666667,1,2047.5,1975.75,3625.791667,3527.208333,2074.608696,1975.75,3692.954545,3527.208333,0.916666667,0.875,1924.590909,3155.809524,2014.166667,3256.041667,3.419828259,2.882013776,3.114658523,3.419828259,2.533343507,3.187183512,0.979166667,0.958333333,0.958333333,1,0.916666667,1,0.083333333,0.125,18,5,2,7,2,2,0.82,0.826666667,0.813333333,0.53,0.388888889,0.458333333,0.533333333,0.7
1228,2,27,green2,0.88,4285,0.88,4285,0.8,4519.83,0.93,5414.21,0.93,3663,0.87,3542,0.2,0.8,0,0.875,6138.875,5862.587302,0.916666667,0.958333333,0.875,0.875,4202.75,3689.416667,8298.541667,8006.416667,4071.909091,3602.217391,8275.666667,7720.095238,0.875,0.75,4996.142857,6967.944444,5236.541667,7399.583333,2.684469925,1.824839131,2.533343507,2.882013776,1.824839131,1.824839131,0.9375,0.875,0.916666667,0.958333333,0.875,0.875,0.125,0.25,13,1,1,5,3,3,0.79,0.813333333,0.76,0.4,0.444444444,0.375,0.6,0.75
1230,2,22,red2,0.75,2521,0.75,2569,0.73,2857,0.87,2976,0.53,2316.63,0.87,1936.25,0.5,1,0,0.8125,3927.291667,3949.683761,0.708333333,0.791666667,0.708333333,0.958333333,3312.083333,2601.125,4788.208333,5467.75,2892.470588,2703.842105,5263.529412,5493.130435,0.833333333,0.875,3348.8,3750.952381,3310,4084.583333,1.641911316,2.117770946,1.515943849,1.779639368,1.698871663,2.882013776,0.75,0.833333333,0.708333333,0.791666667,0.708333333,0.958333333,0.166666667,0.125,16,3,3,5,3,2,0.65,0.546666667,0.746666667,0.33,0.5,0.5,0.333333333,0.625
1234,2,22,yellow1,0.72,8117,0.72,8605,0.53,9359.5,0.8,8653.92,0.73,7986,0.8,6468,0,0.55,0,0.8125,2889.520833,2860.564103,0.875,0.791666667,0.958333333,0.875,2341.333333,2085.041667,3403.208333,3512.583333,2309,1954.526316,3483.130435,3517.904762,0.75,0.625,2494.444444,3344.866667,2553.5,3441.458333,1.641911316,1.701633491,1.824839131,1.486707552,2.05030376,1.468988744,0.833333333,0.916666667,0.875,0.791666667,0.958333333,0.875,0.25,0.375,16,4,1,5,2,4,0.61,0.826666667,0.4,0.47,0.333333333,0.375,0.2,0.65
