ss,rc_1,rc_2,total_dprime
1010,0.3023271996533208,0.7262939918498916,0.5143105957516062
1015,2.3269668087855377,1.4155386195816018,1.8712527141835698
1016,0.1004337205114699,0.4059145086108673,0.2531741145611686
1020,-0.1004337205114699,-0.10358730895754661,-0.10201051473450826
1022,2.160638681629912,1.6875583020314988,1.9240984918307054
1025,1.9248969709375177,1.0776740022880822,1.5012854866128
1026,1.9248969709375177,1.5443864283773698,1.7346416996574439
1102,1.99568442865777,1.4155386195816018,1.7056115241196859
1109,0.40591450861086714,0.671759493677215,0.5388370011440411
1116,2.1969166533874147,2.361870906359557,2.2793937798734856
1119,2.6350929354118087,3.134068251446778,2.8845805934292934
1124,0.8452388845347678,0.8452388845347678,0.8452388845347678
1128,1.9956844286577702,0.40591450861086714,1.2007994686343186
1132,1.5443864283773698,1.3278282172842188,1.4361073228307943
1137,1.723664746207873,0.717943917540802,1.2208043318743376
1161,1.1677459181009575,0.5073742672412481,0.8375600926711029
1201,1.0558085348343216,1.0488010254160813,1.0523047801252015
1204,0.7262939918498916,0.9368636421494455,0.8315788169996685
1212,1.99568442865777,1.687558302031499,1.8416213653446345
1213,1.852512555003641,1.5587104932357307,1.7056115241196859
1215,1.0558085348343216,0.40591450861086714,0.7308615217225943
1218,0,0.5559188281069154,0.2779594140534577
1219,1.6875583020314988,0.5073742672412482,1.0974662846363734
1223,2.8363251601414534,2.361870906359557,2.599098033250505
1228,2.361870906359557,1.723664746207873,2.042767826283715
1230,1.4397656005508548,1.6047198535229967,1.5222427270369256
1234,1.723664746207873,1.86025438269625,1.7919595644520614
1247,0.5429116848814469,0.3023271996533205,0.4226194422673837
1294,1.4155386195816018,0.5244005127080407,0.9699695661448212
1295,2.8363251601414534,2.053744779733286,2.4450349699373697
1325,3.134068251446778,1.6875583020314988,2.4108132767391384
1361,2.5631031310892016,2.6350929354118087,2.599098033250505
1414,3.335300476176423,1.723664746207873,2.529482611192148
1415,3.335300476176423,3.335300476176423,3.335300476176423
1418,1.830730175685628,2.160638681629912,1.99568442865777
1478,3.134068251446778,1.7566670737387038,2.4453676625927407
1500,2.9691139984746364,2.470138682439667,2.7196263404571517
1501,2.9691139984746364,3.134068251446778,3.0515911249607073
1515,2.6970943160247396,1.2815515655446008,1.9893229407846702
1585,0,-0.10043372051146975,-0.05021686025573487
1586,2.470138682439667,1.723664746207873,2.09690171432377
1625,0.230882275951512,0.40591450861086714,0.3183983922811896
1707,-0.7571510528365601,0,-0.3785755264182801
1731,1.3278282172842184,1.2965937268967256,1.312210972090472
1745,-0.3023271996533205,0.5073742672412481,0.10252353379396381
1771,0.7134716087009632,0.7748385527155587,0.7441550807082609
1788,2.470138682439667,2.6350929354118087,2.552615808925738
1795,2.361870906359557,1.3278282172842184,1.8448495618218876
1812,1.1846563436300896,0.6143566085832557,0.8995064761066727
1818,1.5443864283773698,2.3269668087855377,1.9356766185814538
1824,2.196916653387415,1.1846563436300896,1.6907864985087524
1905,1.723664746207873,0.9488261934923142,1.3362454698500936
1920,1.8059520782526415,0.8249262588828095,1.3154391685677256
1922,0,-0.3225070335661899,-0.16125351678309496
1957,2.9691139984746364,2.196916653387415,2.583015325931026
1960,0.41246312944140484,-0.3023271996533205,0.05506796489404217
1963,-0.10145975863038087,0.12884780879576807,0.0136940250826936
1964,2.5781494233398625,1.4155386195816018,1.9968440214607321
1980,-0.2105696502995537,0.20504706758792762,-0.0027612913558130447
1989,2.361870906359557,1.4397656005508548,1.9008182534552058
1992,2.6350929354118087,1.2866908107858337,1.9608918730988212
1993,2.8363251601414534,3.134068251446778,2.985196705794116
1995,3.335300476176423,2.470138682439667,2.902719579308045
1996,0.5073742672412482,-0.10698234134200746,0.2001959629496204
1999,1.5443864283773698,1.1677459181009575,1.3560661732391637
2000,2.470138682439667,2.6350929354118087,2.552615808925738
2012,2.361870906359557,1.9956844286577702,2.1787776675086636
2013,2.8363251601414534,2.3269668087855377,2.5816459844634956
2014,2.053744779733286,1.9956844286577702,2.024714604195528
2027,1.0776740022880822,1.0776740022880822,1.0776740022880822
2102,3.134068251446778,2.9691139984746364,3.0515911249607073
2128,2.9691139984746364,2.6970943160247387,2.8331041572496876
