effect,group,stat,terms,estimate
random,ss,sd,Intercept,0.09771924365275028
random,ss,cor,Intercept vs. inhib,0.10945816243216706
random,ss,sd,inhib,0.06317528880131479
random,Residual,sd,Observation,0.32931293076235724
