ss,sex,age,bp_index,bp_trial1,bp_intrusions,verbgen_ir,ospan,rspan,num_series,rapm,gen_know,text_comp,shipley_vocab
1960,1,21,0.2,0.5,14,31.5,0.853333333,0.546666667,0.33,0.111111111,0.458333333,0.266666667,0.65
1963,1,19,0.54,0.6,0,525,0.72,0.21333333300000001,0.27,0.166666667,0.291666667,0.466666667,0.6
1964,2,18,0.5,0.6,3,-154,0.653333333,0.56,0.47,0.666666667,0.625,0.6,0.725
1980,2,33,NA,NA,NA,347,0.64,0.76,0.47,0.277777778,NA,NA,NA
1989,1,25,0.3,0.5,7,1685.5,0.12,0.76,0.4,0.5,0.458333333,0.4,0.65
1992,2,21,0.06,0.8,1,285,0.853333333,0.96,0.47,0.611111111,0.291666667,0.466666667,0.65
1993,2,20,0.38,0.8,1,410,0.786666667,0.893333333,0.67,0.888888889,0.625,0.866666667,0.725
1994,2,19,0.42,0.6,0,2099,0.44,0.56,NA,0.333333333,NA,NA,NA
1995,1,18,0.63,0.65,0,235,0.853333333,0.613333333,0.33,0.333333333,0.375,0.133333333,0.35
1996,1,19,0.67,0.55,5,1098,0.773333333,0.6,0.2,0.444444444,0.25,0.133333333,0.6
1997,1,17,0.5625,0.8,1,135.5,0.813333333,0.466666667,0.73,0.5,0.458333333,0.333333333,0.675
1999,1,19,0.307692308,0.65,2,106,0.386666667,0.613333333,0.6,0.444444444,0.541666667,0.666666667,0.85
2000,2,19,0.39,0.75,0,1136,0.84,0.92,0.73,0.722222222,0.5,0.266666667,0.6
2011,2,20,0.62,0.8,0,2080,0.88,0.733333333,NA,0.388888889,NA,NA,NA
2012,2,18,0.45,1,5,306,0.906666667,0.826666667,0.73,0.666666667,0.666666667,0.8,0.925
2013,2,19,NA,NA,NA,740,0.76,0.96,0.27,0.388888889,0.833333333,0.6,0.725
2014,2,19,NA,NA,NA,617,NA,NA,0.6,0.555555556,0.5,0.333333333,0.625
2020,1,22,0.67,0.65,1,78,0.36,0.626666667,NA,0.222222222,NA,NA,NA
2027,2,17,0.46,0.75,0,514,0.906666667,0.84,0.47,0.388888889,0.625,0.333333333,0.7
2102,2,21,0.58,0.7,1,847,0.933333333,1,0.6,0.611111111,0.625,0.533333333,0.675
2128,2,19,0.27,0.75,0,103,0.88,0.826666667,0.73,0.444444444,0.541666667,0.866666667,0.775
2210,1,18,0.6,0.75,2,-124.5,0.666666667,0.533333333,NA,0.444444444,NA,NA,NA
2222,1,31,0.44,0.8,1,801,0.733333333,0.92,0.47,0.444444444,0.875,0.8,0.825
2228,2,19,0.69,0.8,8,520,0.56,0.72,NA,0.333333333,NA,NA,NA
2230,1,20,0.43,0.7,2,64,0.946666667,0.666666667,0.6,0.666666667,0.416666667,0.4,0.6
2286,1,23,0.181818182,0.55,3,-196.5,0.853333333,0.653333333,0.33,0.222222222,0.333333333,0.066666667,0.6
2298,2,18,0.22,0.85,0,495,0.853333333,0.68,0.8,0.388888889,0.583333333,0.266666667,0.675
2312,1,23,0.27,0.7,1,203,NA,NA,0.67,0.611111111,0.416666667,0.933333333,0.8
2319,1,29,0.5,0.7,3,80,0.76,0.533333333,0.53,0.5,0.958333333,0.666666667,0.9
2324,1,18,0.333333333,0.6,0,263,0.826666667,0.68,0.53,0.222222222,0.375,0.266666667,0.625
2378,2,19,0.69,0.65,4,418,0.773333333,0.866666667,NA,0.555555556,NA,NA,NA
2424,1,19,0.533333333,0.75,1,-149.5,0.72,0.72,0.47,0.444444444,0.25,0.2,0.5
2456,1,20,0.214285714,0.7,2,248,0.933333333,0.893333333,0.87,0.722222222,0.416666667,0.466666667,0.7
2464,1,22,NA,NA,NA,70.5,0.813333333,0.733333333,NA,NA,NA,NA,NA
2468,1,21,0.461538462,0.65,3,117,0.92,0.786666667,NA,0.555555556,NA,NA,NA
2469,1,18,0.428571429,0.7,0,321,0.986666667,0.946666667,0.93,0.722222222,0.833333333,0.866666667,0.9
2491,1,23,0.368421053,0.95,3,10,0.866666667,0.92,0.4,0.444444444,0.375,0.466666667,0.65
2511,1,64,-1,0.15,2,1748.5,NA,NA,0.2,0.111111111,0.208333333,0.4,0.825
2613,2,22,0.34,0.85,2,303,NA,NA,NA,0.388888889,NA,NA,NA
2693,1,18,0.625,0.8,1,517.5,0.733333333,0.506666667,0.73,0.444444444,0.416666667,0.4,0.675
2724,1,39,0.636363636,0.55,0,-65,0.2,0.173333333,0.13,0.222222222,0.333333333,0.266666667,0.775
2726,1,24,0.48,0.7,1,1178,0.853333333,0.76,0.47,0.388888889,NA,0.666666667,0.775
2783,2,18,0.63,0.55,2,1006,NA,NA,0.8,0.5,0.333333333,0.266666667,0.6
2858,2,18,0.44,0.8,1,1008,NA,0.453333333,NA,0.611111111,NA,NA,NA
2877,2,18,1,0.25,0,74,0.88,0.693333333,0.47,0.555555556,0.541666667,0.266666667,0.65
2907,2,23,0.21,0.95,2,411,NA,NA,0.73,0.333333333,0.458333333,0.533333333,0.675
2996,2,18,0.67,0.75,1,875,1,0.96,0.47,0.555555556,0.666666667,0.8,0.825
3021,2,22,0.73,0.75,3,701,NA,0.44,0.6,0.666666667,0.25,0.266666667,0.65
3057,1,18,0.77,0.65,1,5,0.773333333,0.8,0.87,0.666666667,0.5,0.6,0.7
3110,1,20,0.583333333,0.6,2,-43.5,0.626666667,0.746666667,0.4,0.388888889,0.541666667,0.466666667,0.75
3193,1,21,0.444444444,0.9,0,493.5,0.626666667,0.76,0.6,0.444444444,0.666666667,0.733333333,0.675
3260,2,20,0.2,0.45,2,1217,0.813333333,0.893333333,0.53,0.722222222,0.666666667,0.866666667,0.85
3320,2,24,0.36,0.85,2,39,NA,NA,NA,NA,NA,NA,NA
3322,2,19,NA,NA,NA,-369,0.653333333,0.546666667,0.53,0.277777778,0.375,0.133333333,0.7
3441,2,20,0.35,0.7,3,508,0.693333333,0.773333333,0.6,0.5,0.5,0.666666667,0.85
3443,2,23,0.25,0.55,5,403,0.106666667,0.293333333,0.27,0.388888889,0.333333333,0.066666667,0.6
3450,2,19,0.67,0.75,4,848,0.533333333,0.826666667,0.47,0.166666667,0.583333333,0.266666667,0.55
