term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
acc_cog_min_mod,23,11179.732101820266,11357.893131880744,-5566.866050910133,11133.732101820266,NA,NA,NA
acc_cog_2_mod,28,11122.557080290728,11339.448769060005,-5533.278540145364,11066.557080290728,67.17502152953784,5,3.9628445752632363e-13
acc_cog_max_mod,32,11125.856695678189,11373.732911414507,-5530.928347839094,11061.856695678189,4.700384612538983,4,0.31944359659636457
