effect,group,stat,terms,estimate
random,ss,sd,Intercept,1099.8868017383668
random,ss,cor,Intercept vs. rn,0.8130317803153502
random,ss,sd,rn,728.9906263724065
random,Residual,sd,Observation,1628.1676094133552
