effect,term,b,LL,UL,SE,t,df,p
fixed,Intercept,0.8529887733926904,0.8377188797350477,0.8682586670503332,0.007736721561905333,110.25196739568635,174.0121409295889,6.179943406362939e-163
fixed,rn,0.03968568289924843,0.029821067708289444,0.04955029809020742,0.005032697153820463,7.8855694444323765,16815.99657110504,3.32191651102488e-15
fixed,inhib,0.05217215861043888,0.038540924858132354,0.06580339236274542,0.006906465399457033,7.554104102880253,173.9961459595955,2.2936440383769336e-12
fixed,wm,0.011278398755971149,0.0013916778316137995,0.021165119680328498,0.005009256034695117,2.2515117370433226,174.0121414765266,0.025603972154762157
fixed,gf,0.02759727719438065,0.015863321224391824,0.039331233164369477,0.005945185486881864,4.641953939919021,174.0121409807035,6.771497729713233e-6
fixed,gc,0.004663757252529332,-0.002434670599475345,0.011762185104534008,0.0035965253622602753,1.2967397092393484,174.01214115381075,0.196437634788763
fixed,ic,-7.056937693257013e-4,-0.01246403973364442,0.011052652194993018,0.005957543044867477,-0.11845382635273921,174.0121413307034,0.9058447057598615
fixed,rn * inhib,-0.013001327292802015,-0.032730557674719996,0.0067279030891159615,0.010065394307640927,-1.2916858391660164,16815.99657110504,0.1964837162624933
fixed,rn * wm,4.941497497781228e-4,-0.005892842825806656,0.006881142325362901,0.0032584950081051343,0.1516496875241428,16815.99657108024,0.879465060792769
fixed,inhib * wm,-0.00915110772911782,-0.01797685380100527,-3.253616572303705e-4,0.004471694270476364,-2.0464520102674557,173.9961458897491,0.042216375871127615
fixed,rn * gf,3.346843425339189e-6,-0.0075769914946806245,0.007583685181531304,0.0038673122509782663,8.654184632990469e-4,16815.996571010077,0.9993095063212025
fixed,inhib * gf,0.0029924508895464398,-0.007482297674707963,0.013467199453800843,0.005307185676770141,0.5638489157529518,173.996145929252,0.5735829726240571
fixed,rn * gc,2.627452201866872e-4,-0.004322961844406708,0.004848452284780083,0.002339521050287416,0.11230726911151677,16815.996571115746,0.9105811188514683
fixed,inhib * gc,-6.334065089090246e-4,-0.006970079932765232,0.0057032669149471825,0.0032105689437016147,-0.19728793245559173,173.99614594299626,0.8438324984845292
fixed,rn * ic,-0.001764753043476461,-0.009360847739524693,0.005831341652571771,0.0038753507782026556,-0.45537891780081224,16815.99657109946,0.6488425390900664
fixed,inhib * ic,-0.0028535942155477542,-0.013350115407944299,0.007642926976848791,0.005318217099572068,-0.5365697116383928,173.99614590006405,0.5922502504466542
fixed,rn * inhib * wm,-5.475410361691859e-4,-0.013321526187338744,0.012226444115000372,0.006516990016210269,-0.0840174735279999,16815.99657108024,0.9330435391276988
fixed,rn * inhib * gf,-0.002932395657563624,-0.01809307233377555,0.012228281018648304,0.007734624501956533,-0.37912579425437554,16815.996571010077,0.704599239439844
fixed,rn * inhib * gc,0.002247490912194372,-0.006923923216992419,0.011418905041381162,0.004679042100574832,0.4803314148248981,16815.996571115746,0.6309980024556963
fixed,rn * inhib * ic,8.323582471650446e-4,-0.014359831144931421,0.01602454763926151,0.007750701556405311,0.1073913427200883,16815.99657109946,0.9144798034445513
